date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20May%202019%2021:02:05%20GMT	http://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/docs/getting-started/overview.0.delayed	(from )
14:02:07	17746/17746	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202018%2012:02:20%20GMT	https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html	(from )
14:02:08	5249/5249	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2021:02:07%20GMT	https://demos.creative-tim.com/robots.txt		(from )
14:02:09	4976/4976	---M--	200	added ('OK')	image/png	etag:%225b7bff4c-1370%22	https://demos.creative-tim.com/argon-design-system/assets/img/brand/favicon.png	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/assets/img/brand/favicon.png	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:09	99436/99436	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202018%2012:02:20%20GMT	https://demos.creative-tim.com/argon-design-system/index.html	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/index.html	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:10	9015/9015	---M-Z	200	added ('OK')	text/css	etag:W/%225b7bff4c-2337%22	https://demos.creative-tim.com/argon-design-system/assets/vendor/nucleo/css/nucleo.css	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/assets/vendor/nucleo/css/nucleo.css	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:11	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225b7bff4c-7918%22	https://demos.creative-tim.com/argon-design-system/assets/vendor/font-awesome/css/font-awesome.min.css	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/assets/vendor/font-awesome/css/font-awesome.min.css	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:13	19299/19299	---M-Z	200	added ('OK')	text/css	etag:W/%225b7bff4c-4b63%22	https://demos.creative-tim.com/argon-design-system/assets/css/docs.min.css	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/assets/css/docs.min.css	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:14	229005/229005	---M-Z	200	added ('OK')	text/css	etag:W/%225b7bff4c-37e8d%22	https://demos.creative-tim.com/argon-design-system/assets/css/argon.min.css	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/assets/css/argon.min.css	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:14	7714/7714	---M--	200	added ('OK')	image/png	etag:%225b7bff4c-1e22%22	https://demos.creative-tim.com/argon-design-system/assets/img/brand/white.png	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/assets/img/brand/white.png	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:16	15377/15377	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202018%2012:02:20%20GMT	https://demos.creative-tim.com/argon-design-system/docs/getting-started/download.html	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/docs/getting-started/download.html	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:16	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2021:02:16%20GMT	https://demos.creative-tim.com/argon-design-system//docs/1.0.1/	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/docs/1.0.1/index.html	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:17	23335/23335	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202018%2012:02:20%20GMT	https://demos.creative-tim.com/argon-design-system/docs/getting-started/quick-start.html	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/docs/getting-started/quick-start.html	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:18	15043/15043	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202018%2012:02:20%20GMT	https://demos.creative-tim.com/argon-design-system/docs/getting-started/license.html	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/docs/getting-started/license.html	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:19	20447/20447	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202018%2012:02:20%20GMT	https://demos.creative-tim.com/argon-design-system/docs/getting-started/contents.html	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/docs/getting-started/contents.html	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
14:02:20	16843/16843	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202018%2012:02:20%20GMT	https://demos.creative-tim.com/argon-design-system/docs/getting-started/build-tools.html	/Users/michael/Desktop/CT/demos.creative-tim.com/argon-design-system/docs/getting-started/build-tools.html	(from https://demos.creative-tim.com/argon-design-system/docs/getting-started/overview.html)
